source_id,title,url_or_path,source_type,published_at,accessed_at,commit_sha,license,relevance,notes
B01,Antithesis homepage,https://antithesis.com/,official_site,undated,2026-07-21,,proprietary,positioning+claims,"75+ severe bugs; 40x/10x claims; customer quotes"
B02,Antithesis product page,https://antithesis.com/product/,official_site,undated,2026-07-21,,proprietary,deployment+FAQ,"VPC option; AWS Marketplace; no free tier; dhyve mention"
B03,Antithesis about,https://antithesis.com/company/about/,official_site,undated,2026-07-21,,proprietary,lineage+funding,"FDB 2009→Apple 2015→Antithesis Jan 2018; $47M seed; $105M Series A Jane Street"
B04,Is something bugging you?,https://antithesis.com/blog/is_something_bugging_you/,official_blog,2024-02-13,2026-07-21,,proprietary,lineage+vision,"launch post; MongoDB/Ethereum/Palantir named"
B05,So you think you want to write a deterministic hypervisor?,https://antithesis.com/blog/deterministic_hypervisor/,official_blog,2024-03-20,2026-07-21,,proprietary,substrate,"bhyve fork; VMX; 1 core/VM; virtual clock; PMC nondeterminism; VMCALL input tree"
B06,Debugging in the Multiverse,https://antithesis.com/blog/multiverse_debugging/,official_blog,2024-09-10,2026-07-21,,proprietary,debugging,"multiverse debugging coined; rewind/gdb/pcap retroactively; snapshotting confirmed"
B07,When your customer leads your Series A,https://antithesis.com/blog/2025/series_a/,official_blog,2025-12-03,2026-07-21,,proprietary,funding,"$105M Series A led by Jane Street (customer)"
B08,Depth is all you need: Gradius,https://antithesis.com/blog/2025/gradius/,official_blog,2025-02-21,2026-07-21,,proprietary,exploration,"tactics/strategies; tree fuzzing; FabiusStrategy; rollouts"
B09,Hunting for one-in-a-million bugs in NATS,https://antithesis.com/blog/2025/synadia/,customer_story,2025-03-18,2026-07-21,,proprietary,bug-finding evidence,"Synadia-authored; Raft data-loss path; vendor-hosted"
B10,Antithesis report: Tigris Data,https://antithesis.com/blog/2026/tigris_report/,customer_report,2026-04-21,2026-07-21,,proprietary,bug-finding evidence+scale,"3 cache-coherence bugs; 20.37M states/211k executions"
B11,Antithesis launches Kubernetes support,https://antithesis.com/blog/2025/kubernetes_launch/,official_blog,2025-11-05,2026-07-21,,proprietary,deployment,"k3s single-node simulated cluster"
B12,Antithesis skills for agents,https://antithesis.com/blog/2026/agent_skills/,official_blog,2026-03-25,2026-07-21,,proprietary,agent integration,"antithesis-research/setup/workload skills; onboarding-pain admission"
B13,At the Mountains of Madness,https://antithesis.com/blog/madness/,official_blog,2024-07-10,2026-07-21,,proprietary,engineering culture,"NixOS everywhere; madness loader"
B14,Welcome to Antithesis (docs),https://antithesis.com/docs/introduction/welcome/,official_docs,undated,2026-07-21,,proprietary,mental model,"staging-environment framing"
B15,How Antithesis works (docs),https://antithesis.com/docs/introduction/how_antithesis_works/,official_docs,undated,2026-07-21,,proprietary,exploration,"RL guidance quote; multiverse framing"
B16,The Antithesis environment (docs),https://antithesis.com/docs/configuration/the_antithesis_environment/,official_docs,undated,2026-07-21,,proprietary,substrate config,"6.1 kernel; Skylake x86-64 only; 10GB RAM; seeded /dev/random; fast-forward"
B17,Fault injection overview (docs),https://antithesis.com/docs/concepts/fault_injection/,official_docs,undated,2026-07-21,,proprietary,fault model,"network/node/clock/thread-pause/CPU/custom faults; ANTITHESIS_STOP_FAULTS"
B18,SDKs (docs),https://antithesis.com/docs/reference/sdk/,official_docs,undated,2026-07-21,,proprietary,interfaces,"Go/Java/C/C++/JS/Python/Rust/.NET + fallback; no-op in prod"
B19,Assertions in Antithesis (docs),https://antithesis.com/docs/concepts/properties_assertions/assertions/,official_docs,undated,2026-07-21,,proprietary,properties,"always/alwaysOrUnreachable/reachable/unreachable/sometimes; assertions are clues"
B20,Antithesis Assertion Schema (docs),https://antithesis.com/docs/reference/sdk/fallback/schema/,official_docs,undated,2026-07-21,,proprietary,fallback API,"JSONL antithesis_assert schema; must_hit semantics"
B21,Test commands reference (docs),https://antithesis.com/docs/product/test_templates/test_composer_reference/,official_docs,undated,2026-07-21,,proprietary,workload model,"7 command prefixes with scheduling/fault semantics — reimplementable"
B22,Test templates (docs),https://antithesis.com/docs/product/test_templates/,official_docs,undated,2026-07-21,,proprietary,workload model,"template=client+checker; granularity guidance"
